time,load_const_step_worker
2020-10-05T21:08:52-03:00,0
2020-10-05T21:08:53-03:00,0
2020-10-05T21:08:54-03:00,0
2020-10-05T21:08:55-03:00,114
2020-10-05T21:08:56-03:00,200
2020-10-05T21:08:57-03:00,200
2020-10-05T21:08:58-03:00,200
2020-10-05T21:08:59-03:00,200
2020-10-05T21:09:00-03:00,200
2020-10-05T21:09:01-03:00,200
2020-10-05T21:09:02-03:00,200
2020-10-05T21:09:03-03:00,200
2020-10-05T21:09:04-03:00,200
2020-10-05T21:09:05-03:00,200
2020-10-05T21:09:06-03:00,200
2020-10-05T21:09:07-03:00,200
2020-10-05T21:09:08-03:00,200
2020-10-05T21:09:09-03:00,200
2020-10-05T21:09:10-03:00,200
2020-10-05T21:09:11-03:00,200
2020-10-05T21:09:12-03:00,200
2020-10-05T21:09:13-03:00,200
2020-10-05T21:09:14-03:00,200
2020-10-05T21:09:15-03:00,200
2020-10-05T21:09:16-03:00,200
2020-10-05T21:09:17-03:00,200
2020-10-05T21:09:18-03:00,200
2020-10-05T21:09:19-03:00,200
2020-10-05T21:09:20-03:00,200
2020-10-05T21:09:21-03:00,199
2020-10-05T21:09:22-03:00,201
2020-10-05T21:09:23-03:00,200
2020-10-05T21:09:24-03:00,200
2020-10-05T21:09:25-03:00,200
2020-10-05T21:09:26-03:00,200
2020-10-05T21:09:27-03:00,200
2020-10-05T21:09:28-03:00,200
2020-10-05T21:09:29-03:00,200
2020-10-05T21:09:30-03:00,200
2020-10-05T21:09:31-03:00,200
2020-10-05T21:09:32-03:00,200
2020-10-05T21:09:33-03:00,200
2020-10-05T21:09:34-03:00,200
2020-10-05T21:09:35-03:00,199
2020-10-05T21:09:36-03:00,201
2020-10-05T21:09:37-03:00,200
2020-10-05T21:09:38-03:00,200
2020-10-05T21:09:39-03:00,200
2020-10-05T21:09:40-03:00,200
2020-10-05T21:09:41-03:00,200
2020-10-05T21:09:42-03:00,200
2020-10-05T21:09:43-03:00,200
2020-10-05T21:09:44-03:00,200
2020-10-05T21:09:45-03:00,200
2020-10-05T21:09:46-03:00,200
2020-10-05T21:09:47-03:00,200
2020-10-05T21:09:48-03:00,200
2020-10-05T21:09:49-03:00,200
2020-10-05T21:09:50-03:00,200
2020-10-05T21:09:51-03:00,200
2020-10-05T21:09:52-03:00,200
2020-10-05T21:09:53-03:00,200
2020-10-05T21:09:54-03:00,200
2020-10-05T21:09:55-03:00,85
2020-10-05T21:09:56-03:00,0
2020-10-05T21:09:57-03:00,0
2020-10-05T21:09:58-03:00,0
2020-10-05T21:09:59-03:00,0
2020-10-05T21:10:00-03:00,0
2020-10-05T21:10:01-03:00,0
2020-10-05T21:10:02-03:00,0
2020-10-05T21:10:03-03:00,0
2020-10-05T21:10:04-03:00,0
2020-10-05T21:10:05-03:00,0

