time,workerID
1601337445546764000,g20c0
1601337445546804000,g15c0
1601337445546833000,g4c0
1601337445546840000,g17c0
1601337445546850000,g29c0
1601337445546855000,g16c0
1601337445546872000,g6c0
1601337445546899000,g27c0
1601337445546910000,g19c0
1601337445546921000,g9c0
1601337445546924000,g3c0
1601337445546927000,g7c0
1601337445546929000,g28c0
1601337445546932000,g31c0
1601337445546935000,g8c0
1601337445546937000,g21c0
1601337445546940000,g2c0
1601337445546942000,g14c0
1601337445547134000,g5c0
1601337445547204000,g0c0
1601337445547219000,g22c0
1601337445547230000,g18c0
1601337445547282000,g11c0
1601337445547300000,g12c0
1601337445547317000,g30c0
1601337445547331000,g1c0
1601337445547362000,g26c0
1601337445547392000,g10c0
1601337445547406000,g13c0
1601337445547415000,g25c0
1601337445547418000,g23c0
1601337445547513000,g49c0
1601337445547532000,g47c0
1601337445547555000,g45c0
1601337445547560000,g41c0
1601337445547565000,g43c0
1601337445547568000,g44c0
1601337445547571000,g48c0
1601337445547582000,g32c0
1601337445547589000,g39c0
1601337445547602000,g34c0
1601337445547606000,g33c0
1601337445547609000,g42c0
1601337445547616000,g37c0
1601337445547619000,g24c0
1601337445547622000,g40c0
1601337445547649000,g35c0
1601337445547660000,g46c0
1601337445547666000,g38c0
1601337445547681000,g36c0
1601337445549623000,g20c0
1601337445549633000,g39c0
1601337445549804000,g14c0
1601337445550278000,g10c0
1601337445550283000,g20c0
1601337445550317000,g15c0
1601337445550320000,g12c0
1601337445550323000,g23c0
1601337445550325000,g3c0
1601337445550328000,g14c0
1601337445550331000,g4c0
1601337445550333000,g28c0
1601337445550336000,g13c0
1601337445550347000,g25c0
1601337445550407000,g17c0
1601337445550420000,g27c0
1601337445550430000,g39c0
1601337445550896000,g44c0
1601337445550902000,g30c0
1601337445550927000,g31c0
1601337445550940000,g49c0
1601337445550944000,g29c0
1601337445550946000,g18c0
1601337445550957000,g24c0
1601337445550960000,g32c0
1601337445550970000,g8c0
1601337445550973000,g16c0
1601337445550979000,g11c0
1601337445550986000,g1c0
1601337445550999000,g38c0
1601337445551007000,g5c0
1601337445551047000,g7c0
1601337445551252000,g2c0
1601337445551287000,g0c0
1601337445551298000,g40c0
1601337445551371000,g23c0
1601337445551443000,g46c0
1601337445551467000,g33c0
1601337445551474000,g26c0
1601337445551511000,g27c0
1601337445551523000,g34c0
1601337445551621000,g47c0
1601337445551626000,g13c0
1601337445551631000,g35c0
1601337445551635000,g10c0
1601337445551641000,g21c0
1601337445551643000,g6c0
1601337445551646000,g22c0
1601337445551668000,g48c0
1601337445551670000,g3c0
1601337446545521000,g27c0
1601337446545526000,g43c0
1601337446545531000,g23c0
1601337446545549000,g32c0
1601337446545556000,g4c0
1601337446545559000,g6c0
1601337446545570000,g35c0
1601337446545583000,g24c0
1601337446545586000,g38c0
1601337446545591000,g45c0
